"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0T9F0","2019-07-30 00:00:00","251.000","348.000","0.400","25.000","0.940","983.000","-99.000","0.000","-99.000","-99.000","-99.000","31.900","","24.300",""
"C0D390","2019-07-30 00:00:00","146.000","0.000","0.000","26.200","0.960","991.200","-99.000","0.000","-99.000","-99.000","-99.000","33.100","","23.500",""
"C0E430","2019-07-30 00:00:00","258.000","194.000","1.100","25.300","0.950","983.800","-99.000","0.500","-99.000","-99.000","-99.000","30.900","","25.300",""
"C0O990","2019-07-30 00:00:00","18.000","0.000","0.000","26.700","0.990","1006.600","-99.000","0.000","-99.000","-99.000","-99.000","34.900","","24.800",""
"CM0010","2019-07-30 00:00:00","68.000","0.000","0.200","28.600","-99.000","1001.600","-99.000","0.000","-99.000","-99.000","-99.000","33.900","","25.400",""
"C0K500","2019-07-30 00:00:00","12.000","0.000","0.000","28.700","0.830","1006.500","-99.000","0.500","-99.000","-99.000","-99.000","33.300","","25.600",""
"C0X260","2019-07-30 00:00:00","39.000","113.000","0.600","27.500","0.910","1004.900","-99.000","0.000","-99.000","-99.000","-99.000","34.700","","25.300",""
"C0ACA0","2019-07-30 00:00:00","25.000","72.000","0.500","30.000","0.690","1005.000","-99.000","0.000","-99.000","-99.000","-99.000","31.800","","27.600",""
"C0X180","2019-07-30 00:00:00","62.000","116.000","0.400","27.100","0.990","1001.500","-99.000","0.000","-99.000","-99.000","-99.000","35.400","","24.900",""
"C0F930","2019-07-30 00:00:00","100.000","109.000","0.400","28.600","1.000","997.300","-99.000","0.000","-99.000","-99.000","-99.000","33.500","","26.200",""
"C0V770","2019-07-30 00:00:00","26.000","148.000","1.300","28.700","0.790","1006.100","-99.000","0.000","-99.000","-99.000","-99.000","34.000","","26.100",""
"C0E730","2019-07-30 00:00:00","26.000","126.000","0.700","28.100","0.870","1004.800","-99.000","0.000","-99.000","-99.000","-99.000","32.100","","28.100",""
"C0V810","2019-07-30 00:00:00","32.000","0.000","0.000","29.500","0.770","1004.200","-99.000","0.000","-99.000","-99.000","-99.000","32.300","","27.100",""
"C0A9C0","2019-07-30 00:00:00","35.000","111.000","1.400","29.600","0.720","1005.300","-99.000","0.000","-99.000","-99.000","-99.000","33.500","","26.300",""
"C0X310","2019-07-30 00:00:00","9.000","63.000","1.000","29.100","0.850","1008.600","-99.000","0.000","-99.000","-99.000","-99.000","31.100","","26.800",""
"C0K280","2019-07-30 00:00:00","23.000","0.000","0.000","27.600","0.890","1008.500","-99.000","0.000","-99.000","-99.000","-99.000","35.600","","25.300",""
"C0M650","2019-07-30 00:00:00","20.000","47.000","0.500","28.400","0.880","1007.000","-99.000","0.000","-99.000","-99.000","-99.000","33.900","","25.800",""
"C0S910","2019-07-30 00:00:00","212.000","72.000","3.700","25.600","0.850","988.000","-99.000","17.000","-99.000","-99.000","-99.000","30.200","","25.400",""
"C0D570","2019-07-30 00:00:00","15.000","0.000","0.000","27.000","1.000","1007.500","-99.000","0.500","-99.000","-99.000","-99.000","33.000","","26.900",""
"C0M710","2019-07-30 00:00:00","15.000","45.000","0.700","29.300","0.790","1007.400","-99.000","0.000","-99.000","-99.000","-99.000","31.700","","26.800",""
"C0V490","2019-07-30 00:00:00","20.000","129.000","0.400","30.300","0.730","1006.900","-99.000","0.500","-99.000","-99.000","-99.000","33.400","","27.200",""
"C0E870","2019-07-30 00:00:00","34.000","0.000","0.000","27.300","0.950","1006.500","-99.000","0.000","-99.000","-99.000","-99.000","31.900","","24.400",""
"C0M800","2019-07-30 00:00:00","440.000","96.000","1.300","24.100","0.930","961.500","-99.000","0.000","-99.000","-99.000","-99.000","31.700","","21.900",""
"C0A570","2019-07-30 00:00:00","360.000","0.000","0.000","24.200","0.960","970.300","-99.000","0.000","-99.000","-99.000","-99.000","32.200","","22.300",""
